date,product_id,store_id,units_sold,price,promotion_flag
2023-01-01,P001,STORE_001,15,10.0,False
2023-01-02,P001,STORE_001,21,10.0,False
2023-01-03,P001,STORE_001,34,10.0,True
2023-01-04,P001,STORE_001,23,10.0,False
2023-01-05,P001,STORE_001,21,10.0,False
2023-01-06,P001,STORE_001,17,10.0,False
2023-01-07,P001,STORE_001,17,10.0,False
2023-01-08,P001,STORE_001,17,10.0,False
2023-01-09,P001,STORE_001,22,10.0,False
2023-01-10,P001,STORE_001,0,10.0,False
2023-01-11,P001,STORE_001,23,10.0,False
2023-01-12,P001,STORE_001,25,10.0,False
2023-01-13,P001,STORE_001,20,10.0,False
2023-01-14,P001,STORE_001,0,10.0,False
2023-01-15,P001,STORE_001,20,10.0,False
2023-01-16,P001,STORE_001,21,10.0,False
2023-01-17,P001,STORE_001,39,10.0,True
2023-01-18,P001,STORE_001,41,10.0,True
2023-01-19,P001,STORE_001,21,10.0,False
2023-01-20,P001,STORE_001,22,10.0,False
2023-01-21,P001,STORE_001,16,10.0,False
2023-01-22,P001,STORE_001,19,10.0,False
2023-01-23,P001,STORE_001,22,10.0,False
2023-01-24,P001,STORE_001,26,10.0,False
2023-01-25,P001,STORE_001,26,10.0,False
2023-01-26,P001,STORE_001,34,10.0,True
2023-01-27,P001,STORE_001,22,10.0,False
2023-01-28,P001,STORE_001,21,10.0,False
2023-01-29,P001,STORE_001,19,10.0,False
2023-01-30,P001,STORE_001,25,10.0,False
2023-01-31,P001,STORE_001,35,10.0,True
2023-02-01,P001,STORE_001,29,10.0,False
2023-02-02,P001,STORE_001,24,10.0,False
2023-02-03,P001,STORE_001,24,10.0,False
2023-02-04,P001,STORE_001,19,10.0,False
2023-02-05,P001,STORE_001,19,10.0,False
2023-02-06,P001,STORE_001,24,10.0,False
2023-02-07,P001,STORE_001,28,10.0,False
2023-02-08,P001,STORE_001,31,10.0,False
2023-02-09,P001,STORE_001,29,10.0,False
2023-02-10,P001,STORE_001,0,10.0,True
2023-02-11,P001,STORE_001,21,10.0,False
2023-02-12,P001,STORE_001,22,10.0,False
2023-02-13,P001,STORE_001,24,10.0,False
2023-02-14,P001,STORE_001,30,10.0,False
2023-02-15,P001,STORE_001,30,10.0,False
2023-02-16,P001,STORE_001,24,10.0,False
2023-02-17,P001,STORE_001,25,10.0,False
2023-02-18,P001,STORE_001,0,10.0,False
2023-02-19,P001,STORE_001,0,10.0,False
2023-02-20,P001,STORE_001,27,10.0,False
2023-02-21,P001,STORE_001,32,10.0,False
2023-02-22,P001,STORE_001,31,10.0,False
2023-02-23,P001,STORE_001,29,10.0,False
2023-02-24,P001,STORE_001,25,10.0,False
2023-02-25,P001,STORE_001,20,10.0,False
2023-02-26,P001,STORE_001,0,10.0,False
2023-02-27,P001,STORE_001,27,10.0,False
2023-02-28,P001,STORE_001,29,10.0,False
2023-03-01,P001,STORE_001,32,10.0,False
2023-03-02,P001,STORE_001,26,10.0,False
2023-03-03,P001,STORE_001,22,10.0,False
2023-03-04,P001,STORE_001,23,10.0,False
2023-03-05,P001,STORE_001,22,10.0,False
2023-03-06,P001,STORE_001,26,10.0,False
2023-03-07,P001,STORE_001,30,10.0,False
2023-03-08,P001,STORE_001,31,10.0,False
2023-03-09,P001,STORE_001,42,10.0,True
2023-03-10,P001,STORE_001,20,10.0,False
2023-03-11,P001,STORE_001,32,10.0,True
2023-03-12,P001,STORE_001,25,10.0,False
2023-03-13,P001,STORE_001,39,10.0,True
2023-03-14,P001,STORE_001,33,10.0,False
2023-03-15,P001,STORE_001,33,10.0,False
2023-03-16,P001,STORE_001,27,10.0,False
2023-03-17,P001,STORE_001,27,10.0,False
2023-03-18,P001,STORE_001,22,10.0,False
2023-03-19,P001,STORE_001,26,10.0,False
2023-03-20,P001,STORE_001,39,10.0,True
2023-03-21,P001,STORE_001,34,10.0,False
2023-03-22,P001,STORE_001,0,10.0,False
2023-03-23,P001,STORE_001,31,10.0,False
2023-03-24,P001,STORE_001,24,10.0,False
2023-03-25,P001,STORE_001,22,10.0,False
2023-03-26,P001,STORE_001,24,10.0,False
2023-03-27,P001,STORE_001,27,10.0,False
2023-03-28,P001,STORE_001,30,10.0,False
2023-03-29,P001,STORE_001,48,10.0,True
2023-03-30,P001,STORE_001,31,10.0,False
2023-03-31,P001,STORE_001,27,10.0,False
2023-04-01,P001,STORE_001,18,10.0,False
2023-04-02,P001,STORE_001,20,10.0,False
2023-04-03,P001,STORE_001,26,10.0,False
2023-04-04,P001,STORE_001,31,10.0,False
2023-04-05,P001,STORE_001,31,10.0,False
2023-04-06,P001,STORE_001,28,10.0,False
2023-04-07,P001,STORE_001,27,10.0,False
2023-04-08,P001,STORE_001,19,10.0,False
2023-04-09,P001,STORE_001,29,10.0,True
2023-04-10,P001,STORE_001,30,10.0,False
2023-04-11,P001,STORE_001,30,10.0,False
2023-04-12,P001,STORE_001,48,10.0,True
2023-04-13,P001,STORE_001,31,10.0,False
2023-04-14,P001,STORE_001,23,10.0,False
2023-04-15,P001,STORE_001,17,10.0,False
2023-04-16,P001,STORE_001,0,10.0,False
2023-04-17,P001,STORE_001,42,10.0,True
2023-04-18,P001,STORE_001,32,10.0,False
2023-04-19,P001,STORE_001,32,10.0,False
2023-04-20,P001,STORE_001,31,10.0,False
2023-04-21,P001,STORE_001,23,10.0,False
2023-04-22,P001,STORE_001,0,10.0,False
2023-04-23,P001,STORE_001,22,10.0,False
2023-04-24,P001,STORE_001,28,10.0,False
2023-04-25,P001,STORE_001,26,10.0,False
2023-04-26,P001,STORE_001,32,10.0,False
2023-04-27,P001,STORE_001,30,10.0,False
2023-04-28,P001,STORE_001,0,10.0,False
2023-04-29,P001,STORE_001,22,10.0,False
2023-04-30,P001,STORE_001,20,10.0,False
2023-05-01,P001,STORE_001,26,10.0,False
2023-05-02,P001,STORE_001,30,10.0,False
2023-05-03,P001,STORE_001,30,10.0,False
2023-05-04,P001,STORE_001,25,10.0,False
2023-05-05,P001,STORE_001,22,10.0,False
2023-05-06,P001,STORE_001,20,10.0,False
2023-05-07,P001,STORE_001,24,10.0,False
2023-05-08,P001,STORE_001,38,10.0,True
2023-05-09,P001,STORE_001,0,10.0,False
2023-05-10,P001,STORE_001,30,10.0,False
2023-05-11,P001,STORE_001,28,10.0,False
2023-05-12,P001,STORE_001,19,10.0,False
2023-05-13,P001,STORE_001,21,10.0,False
2023-05-14,P001,STORE_001,23,10.0,False
2023-05-15,P001,STORE_001,25,10.0,False
2023-05-16,P001,STORE_001,29,10.0,False
2023-05-17,P001,STORE_001,31,10.0,False
2023-05-18,P001,STORE_001,27,10.0,False
2023-05-19,P001,STORE_001,21,10.0,False
